id,tag_name,LOC,dayDifference
15583187,v2.1.3.RELEASE,1921,34 days
14938994,v2.1.2.RELEASE,1913,7:55:45

14935031,v2.0.8.RELEASE,1930,2:18:53

14931349,v1.5.19.RELEASE,1930,42 days
14277090,v2.1.1.RELEASE,1883,6:16:17

14273281,v2.0.7.RELEASE,1883,16:06:16

14253745,v1.5.18.RELEASE,1504,30 days
13728625,v2.1.0.RELEASE,1754,12 days
13484075,v2.1.0.RC1,1754,1 day
13458861,v2.0.6.RELEASE,1754,5:07:42

13446382,v1.5.17.RELEASE,1502,21 days
13070099,v2.1.0.M4,1754,11 days
12875887,v2.1.0.M3,1651,19:45:37

12856990,v2.0.5.RELEASE,1651,18:04:27

12841517,v1.5.16.RELEASE,1651,21 days
12498661,v2.1.0.M2,1647,21 days
12180115,v2.1.0.M1,1502,2:00:18

12180094,v2.0.4.RELEASE,841,0:18:47

12180067,v1.5.15.RELEASE,1546,46 days
