id,tag_name,LOC,dayDifference, dayDifferenceHours
12838421,BS-4.7.8,1660,104 days,22:41:15
11222552,zxing-3.3.3,1628,118 days,11:04:09
9460545,zxing-3.3.2,1625,97 days,9:44:12
8259761,BS-4.7.7,1625,1:01:43
8259029,zxing-3.3.1,1625,404 days,3:07:18
4152910,zxing-3.3.0,1625,1 day,18:33:54
4152712,BS-4.7.6,1625,311 days,5:28:47
2091046,BS-4.7.5,1558,12 days,3:20:29
2024766,BS-4.7.4,1558,68 days,22:36:35
1693316,zxing-3.2.1,1558,184 days,23:32:48
953557,BS-4.7.3,1557,0:00:03
953555,zxing-3.2.0,1557,268 days,21:24:17
334842,zxing-3.1.0,1451,8:50:48
334223,BSGlass-0.2.1,1451,25 days,22:14:28
290219,BSGlass-0.2.0,1451,7 days,21:32:57
278306,zxing-3.0.1,1451,33 days,10:33:45
236106,BS-4.6.4,1451,2 days,10:29:52
222553,BS-4.6.3,1451,13 days,3:47:41
204383,BS-4.6.2,1449,0:11:33
204327,zxing-3.0.0,1449,23 days,21:36:27
173404,BS-4.6.1,1449,16 days,13:56:03
152046,zxing-2.3.0,1451,0:00:00
