id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
4984232,21.0,101246,53 days,23:12:26,-105476
6480439,22.0,206722,152 days,21:54:21,-1672
7309346,23.0,208394,76 days,0:57:34,-2233
7917024,23.1,210627,51 days,1:33:50,-606
8087889,23.2,211233,14 days,2:21:43,-459
8278584,23.3,211692,14 days,21:09:56,-204
8455470,23.4,211896,13 days,21:48:44,-270
8626737,23.5,212166,13 days,2:35:31,-5570
8998652,23.6,217736,28 days,20:21:22,-663
9495947,24.0,218399,42 days,3:25:47,-1875
10109929,24.1,220274,41 days,21:52:13,-7
10724561,25.0,220281,41 days,4:09:29,-14
11262252,25.1,220295,35 days,15:37:12,-402
12214271,26.0,220697,62 days,8:30:53,-894
13517352,27.0,221591,77 days,19:49:15,0
