id,tag_name,covpercent,dayDifference, dayDifferenceHours
3372628,1.1,0.2608950328022493,17:14:25
3546404,1.2,0.27642825011246064,25 days,2:30:56
3623363,1.3,0.28947103781174577,11 days,2:19:06
3645074,1.4,0.22207962752939772,2 days,23:05:32
3723595,1.5,0.23350543400747353,9 days,20:04:04
3779858,1.6,0.23289267945984363,8 days,17:46:17
3916870,1.7,0.23395017057789724,17 days,16:25:21
4014248,1.8,0.25343939166541596,12 days,12:33:28
7726360,2.0,0.30806257521058966,377 days,14:52:15
7972181,2.1,0.31028477075840855,20 days,7:50:03
8074652,2.2,0.31142618472444855,8 days,7:39:01
8488467,2.3,0.3207010684852389,33 days,1:19:47
8699137,2.4,0.32106607440310936,16 days,2:02:41
9828147,2.5,0.3359493561115206,88 days,14:57:48
10133792,2.6,0.3364077249502035,19 days,4:17:50
10442343,2.7,0.3373941593226197,21 days,18:48:45
10828143,2.8,0.34961689878508234,25 days,6:15:10
